o,h,l,c,volume
1.09942,1.10046,1.09924,1.10002,2584
1.10002,1.1008200000000001,1.09988,1.10012,3922
1.10014,1.10045,1.09914,1.09956,6915
1.09958,1.10341,1.09952,1.10341,10135
1.1034,1.10532,1.10291,1.10448,8809
1.10446,1.1045,1.1026,1.10342,6938
1.1034,1.1042299999999998,1.0986200000000002,1.09938,8767
1.09938,1.10002,1.0985200000000002,1.0987200000000001,8773
1.09874,1.09931,1.09684,1.09869,11327
1.0987,1.09884,1.0951,1.09664,11693
1.0966200000000002,1.09902,1.09548,1.09843,15533
1.0984399999999999,1.1007799999999999,1.09788,1.10004,14839
1.10002,1.10089,1.09952,1.1001299999999998,8165
1.10012,1.10058,1.09903,1.10006,5702
1.10004,1.1033,1.09909,1.10289,9665
1.1029,1.1046200000000002,1.1025399999999999,1.10379,6570
1.10378,1.1043,1.1024,1.10277,2452
1.10446,1.10486,1.10396,1.10467,351
1.10471,1.1074,1.1047,1.1051799999999998,3823
1.1052,1.1064,1.10364,1.1063399999999999,3897
1.10636,1.1065,1.10522,1.10566,4799
1.10568,1.10635,1.10552,1.10568,3239
1.10568,1.10622,1.1051799999999998,1.10527,2509
1.1052600000000001,1.10588,1.10479,1.1052799999999998,2223
1.10527,1.1052799999999998,1.1042,1.10433,1800
1.10433,1.10484,1.10384,1.1042,3942
1.10418,1.10786,1.10396,1.1063399999999999,10207
1.10636,1.10931,1.10602,1.10846,12230
1.10846,1.1086799999999999,1.1063,1.10796,11018
1.10796,1.10927,1.10774,1.1085,7431
1.10848,1.11196,1.10818,1.1118700000000001,9170
1.11188,1.11283,1.1099700000000001,1.11123,11093
1.11124,1.11648,1.1109200000000001,1.1122,15666
1.1122100000000001,1.11374,1.11079,1.11256,15774
1.11258,1.11466,1.11121,1.11312,18161
1.1131,1.1165200000000002,1.11247,1.11632,13767
1.1163100000000001,1.11848,1.11612,1.1179700000000001,8470
1.11796,1.11837,1.1162,1.11636,4804
1.11638,1.11666,1.11563,1.11639,3915
1.11638,1.11638,1.1127,1.11356,4918
1.11354,1.11404,1.11238,1.11327,2509
1.11334,1.11391,1.1127799999999999,1.11388,578
1.11385,1.1147799999999999,1.11382,1.1144399999999999,1570
1.11446,1.1145,1.11323,1.1132600000000001,1757
1.1132799999999998,1.11382,1.11204,1.11322,2672
1.11321,1.11463,1.1128799999999999,1.11406,2625
1.11406,1.11418,1.11332,1.1134600000000001,1506
1.11344,1.11556,1.11327,1.11446,2635
1.11446,1.1151,1.11425,1.1145100000000001,1763
1.1145,1.1151200000000001,1.11422,1.11456,2793
1.11458,1.1147200000000002,1.11152,1.11202,7457
1.11204,1.11316,1.11068,1.11104,7758
1.11106,1.11294,1.11002,1.11268,8308
1.11266,1.1139,1.1110200000000001,1.1112600000000001,6738
1.1112799999999998,1.11198,1.11064,1.11138,6252
1.11137,1.11344,1.11046,1.11178,12666
1.1118,1.1125200000000002,1.10954,1.11192,13542
1.1119299999999999,1.11289,1.11156,1.11256,9423
1.11258,1.1213899999999999,1.11258,1.118,29619
1.11799,1.11814,1.1141,1.11748,15721
1.1174600000000001,1.11774,1.1147200000000002,1.1159,8540
1.11591,1.11874,1.11585,1.1185,6479
1.1185,1.11952,1.11741,1.1176,11283
1.11761,1.11842,1.11716,1.11806,5112
1.11805,1.11824,1.11675,1.1172799999999998,1711
1.1172799999999998,1.11782,1.1168799999999999,1.11706,269
1.11711,1.11853,1.11711,1.11766,1282
1.11768,1.11799,1.11686,1.1172799999999998,1919
1.11729,1.1174600000000001,1.11622,1.1166399999999999,2104
1.11666,1.1171200000000001,1.11614,1.11655,1591
1.11653,1.11668,1.11598,1.1161,1695
1.1161,1.1163399999999999,1.11554,1.11612,1100
1.11612,1.11638,1.11564,1.1157,956
1.1157,1.11586,1.1143399999999999,1.11535,2395
1.11534,1.116,1.11449,1.11596,5851
1.11594,1.11876,1.11586,1.1165100000000001,9725
1.11649,1.11727,1.1152,1.11569,6309
1.1156700000000002,1.1167200000000002,1.11362,1.11366,7763
1.11368,1.1154899999999999,1.11366,1.11476,5143
1.11477,1.1148,1.11096,1.1112,7047
1.11122,1.11329,1.11122,1.1125399999999999,6610
1.11255,1.1127200000000002,1.10955,1.11184,9808
1.1118,1.11425,1.11004,1.11394,13499
1.11395,1.1145399999999999,1.11224,1.1129200000000001,8505
1.11291,1.11332,1.11194,1.11236,4557
1.11236,1.11374,1.1123399999999999,1.11316,3185
1.1131799999999998,1.1142299999999998,1.1128799999999999,1.1139,3487
1.11392,1.1142299999999998,1.1131799999999998,1.11372,2748
1.11372,1.1138299999999999,1.11309,1.11356,1044
1.11362,1.11362,1.11313,1.1133600000000001,156
1.11338,1.11399,1.11331,1.1138299999999999,853
1.11385,1.11427,1.11329,1.11376,1749
1.11378,1.11385,1.11338,1.1137,1210
1.1137,1.11432,1.1137,1.1142,756
1.1142100000000001,1.11437,1.11374,1.11384,750
1.11384,1.11392,1.1135899999999999,1.11386,563
1.11384,1.11402,1.1134,1.1134700000000002,610
1.1134600000000001,1.1139,1.11314,1.1132799999999998,1437
1.11329,1.11396,1.11196,1.11232,3850
1.1123299999999998,1.11401,1.11218,1.11372,6983
1.1137,1.11742,1.11321,1.11734,7211
1.11733,1.11776,1.11628,1.11701,5896
1.117,1.11838,1.11566,1.1183299999999998,6655
1.11832,1.12002,1.11794,1.11886,7778
1.11887,1.11988,1.11794,1.11868,9012
1.11866,1.12014,1.11779,1.1190799999999999,9165
1.11906,1.11972,1.1167,1.1187799999999999,11570
1.1188,1.1205200000000002,1.11792,1.12018,8273
1.1202,1.1216700000000002,1.1184399999999999,1.12142,7619
1.12143,1.1218,1.11976,1.1199700000000001,5123
1.11996,1.1204,1.1192,1.12005,3705
1.12004,1.123,1.1193799999999998,1.1228200000000002,5780
1.12284,1.1245,1.12248,1.12362,2782
